valid,tmpf,p01i,relh,sknt,tmp_c,Td,P_mm,cumm_prec,HP_fresh_snow,snowfall,cummulative_snowfall,month
2024-02-05T09:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,53.41,75.35511232588772,6.5025448821693805,697.3391578543394,Feb
2024-02-05T10:56:00Z,22,0.01,91.87,0.00,-5.555555555555555,-7.181555555555555,0.245,53.655,73.91972402907676,3.314406313308581,700.6535641676479,Feb
2024-02-05T11:56:00Z,24,0.01,88.13,0.00,-4.444444444444445,-6.818444444444445,0.245,53.9,77.13390634480132,3.1762944677637543,703.8298586354117,Feb
2024-02-05T12:56:00Z,27,0.01,88.28,0.00,-2.7777777777777777,-5.121777777777778,0.245,54.144999999999996,85.45527463401083,2.8669968126518786,706.6968554480636,Feb
2024-02-05T13:56:00Z,29,0.01,88.38,0.00,-1.6666666666666667,-3.9906666666666677,0.245,54.39,94.84930165206421,2.5830448483293393,709.279900296393,Feb
2024-02-05T15:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,54.635,101.29193205395168,2.4187513756722923,711.6986516720652,Feb
2024-02-05T23:56:00Z,23,0.01,91.9,0.00,-5,-6.619999999999999,0.245,54.88,75.35511232588772,3.2512724410846903,714.9499241131499,Feb
2024-02-06T01:56:00Z,23,0.01,95.88,0.00,-5,-5.824000000000001,0.245,55.125,75.35511232588772,3.2512724410846903,718.2011965542346,Feb
2024-02-06T08:56:00Z,25,0.02,91.97,0.00,-3.8888888888888893,-5.494888888888889,0.49,55.615,79.33826329041156,6.176086791897536,724.3772833461321,Feb
2024-02-06T09:56:00Z,27,0.01,92.05,0.00,-2.7777777777777777,-4.367777777777778,0.245,55.86,85.45527463401083,2.8669968126518786,727.244280158784,Feb
2024-02-06T10:56:00Z,29,0.01,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.245,56.105,94.84930165206421,2.5830448483293393,729.8273250071134,Feb
2024-02-06T11:56:00Z,29,0.02,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.49,56.595,94.84930165206421,5.166089696658679,734.993414703772,Feb
2024-02-06T22:56:00Z,29,0.02,92.12,0.00,-1.6666666666666667,-3.2426666666666657,0.49,57.085,94.84930165206421,5.166089696658679,740.1595044004307,Feb
2024-02-06T23:56:00Z,28,0.03,95.97,0.00,-2.2222222222222223,-3.0282222222222224,0.735,57.82,89.65045559050863,8.19850825250926,748.3580126529399,Feb
2024-02-07T00:56:00Z,28,0.01,95.97,0.00,-2.2222222222222223,-3.0282222222222224,0.245,58.065,89.65045559050863,2.7328360841697537,751.0908487371097,Feb
2024-02-07T01:56:00Z,28,0.02,95.97,0.00,-2.2222222222222223,-3.0282222222222224,0.49,58.555,89.65045559050863,5.465672168339507,756.5565209054492,Feb
2024-02-07T04:56:00Z,27,0.01,95.95,0.00,-2.7777777777777777,-3.5877777777777773,0.245,58.8,85.45527463401083,2.8669968126518786,759.4235177181012,Feb
2024-02-07T05:56:00Z,28,0.05,92.08,0.00,-2.2222222222222223,-3.806222222222223,1.225,60.025,89.65045559050863,13.66418042084877,773.0876981389499,Feb
2024-02-08T09:56:00Z,19,0.01,87.87,0.00,-7.222222222222222,-9.648222222222222,0.245,60.269999999999996,71.07255372113457,3.4471816077033024,776.5348797466531,Feb
2024-02-09T02:56:00Z,15,0.01,91.61,0.00,-9.444444444444445,-11.122444444444445,0.245,60.515,69.25671080261088,3.5375633228998775,780.0724430695531,Feb
2024-02-09T04:56:00Z,13,0.01,83.7,0.00,-10.555555555555555,-13.815555555555555,0.245,60.76,68.79041213815636,3.561542842743117,783.6339859122962,Feb
2024-02-09T11:56:00Z,18,0.01,84.05,0.00,-7.777777777777779,-10.96777777777778,0.245,61.005,70.46393632330069,3.4769559122541462,787.1109418245503,Feb
2024-02-09T16:56:00Z,18,0.01,84.05,0.00,-7.777777777777779,-10.96777777777778,0.245,61.25,70.46393632330069,3.4769559122541462,790.5878977368045,Feb
2024-02-11T20:56:00Z,19,0.01,84.12,0.00,-7.222222222222222,-10.398222222222222,0.245,61.495,71.07255372113457,3.4471816077033024,794.0350793445077,Feb
2024-02-11T21:56:00Z,18,0.01,80.44,0.00,-7.777777777777779,-11.68977777777778,0.245,61.74,70.46393632330069,3.4769559122541462,797.5120352567619,Feb
2024-02-12T22:56:00Z,18,0.03,87.81,0.00,-7.777777777777779,-10.215777777777777,0.735,62.475,70.46393632330069,10.430867736762437,807.9429029935244,Feb
2024-02-12T23:56:00Z,18,0.03,87.81,0.00,-7.777777777777779,-10.215777777777777,0.735,63.21,70.46393632330069,10.430867736762437,818.3737707302868,Feb
2024-02-14T21:56:00Z,18,0.04,91.72,0.00,-7.777777777777779,-9.43377777777778,0.98,64.19,70.46393632330069,13.907823649016585,832.2815943793033,Feb
2024-02-14T22:56:00Z,19,0.03,87.87,0.00,-7.222222222222222,-9.648222222222222,0.735,64.925,71.07255372113457,10.341544823109908,842.6231392024133,Feb
