valid,p01i,tmpf,sknt,relh,tmp,tmp_c,wind_ms,P_mm,CR_snow,CR_mix,P_corr,cummulative_precip_mm,cummulative_corr_precip_mm,snow_Ta,Td,snow_Td,snow_prob,snow_from_fraction,cumm_snow_Ta,cumm_snow_Td,cumm_snow_F
2023-11-15T18:56:00Z,0,34,7,63.72,2,1.1111111111,3.60082304526749,0,0.6862602333154918,0.808033744855967,0,186.944,193.0995300609502,0,-6.144888888900001,0,0.71400000000093,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T19:56:00Z,0,31,3,68.92,-1,-0.55555555555,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-6.771555555549999,0,0.8534999999995351,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T20:56:00Z,0,32,6,66.2,0,0,3.0864197530864197,0,0.7501522711519343,0.8369432098765431,0,186.944,193.0995300609502,0,-6.76,0,0.807,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T21:56:00Z,0,33,6,63.59,1,0.55555555555,3.0864197530864197,0,0.7501522711519343,0.8369432098765431,0,186.944,193.0995300609502,0,-6.726444444449999,0,0.760500000000465,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T22:56:00Z,0,31,0,71.89,-1,-0.55555555555,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.17755555555,0,0.8534999999995351,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T23:56:00Z,0,35,4,56.27,3,1.66666666665,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-7.079333333349998,0,0.6675000000013951,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T00:56:00Z,0,35,5,53.93,3,1.66666666665,2.57201646090535,0,0.8114371074684765,0.8658526748971193,0,186.944,193.0995300609502,0,-7.54733333335,0,0.6675000000013951,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T02:56:00Z,0,35,4,58.7,3,1.66666666665,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-6.5933333333499995,0,0.6675000000013951,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T03:56:00Z,0,30,0,71.78,-2,-1.1111111111,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.7551111111,0,0.8999999999990701,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T04:56:00Z,0,27,4,77.8,-5,-2.77777777775,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-7.21777777775,0,1.039499999997675,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T05:56:00Z,0,26,0,81.09,-6,-3.3333333333,0,0,1,1.0104,0,186.944,193.0995300609502,0,-7.115333333299999,0,1.08599999999721,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T06:56:00Z,0,26,0,81.09,-6,-3.3333333333,0,0,1,1.0104,0,186.944,193.0995300609502,0,-7.115333333299999,0,1.08599999999721,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T07:56:00Z,0,29,0,77.98,-3,-1.66666666665,0,0,1,1.0104,0,186.944,193.0995300609502,0,-6.070666666649999,0,0.946499999998605,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T09:56:00Z,0,41,7,52.61,9,4.99999999995,3.60082304526749,0,0.6862602333154918,0.808033744855967,0,186.944,193.0995300609502,0,-4.47800000005,0,0.38850000000418505,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-16T10:56:00Z,0,41,5,50.46,9,4.99999999995,2.57201646090535,0,0.8114371074684765,0.8658526748971193,0,186.944,193.0995300609502,0,-4.9080000000499995,0,0.38850000000418505,0,41.104625034709315,82.09487721321163,106.9124844047941
