station,valid,lon,lat,elevation,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
WYS,2023-09-09 03:55,-111.1176,44.6884,2026.60,BKN,OVC,M,9000.00,11000.00,M,M
WYS,2023-09-09 04:40,-111.1176,44.6884,2026.60,OVC,M,M,11000.00,M,M,M
WYS,2023-09-09 05:55,-111.1176,44.6884,2026.60,FEW,FEW,M,9500.00,12000.00,M,M
WYS,2023-09-09 06:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 07:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 08:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 09:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 10:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 11:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 12:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 13:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 14:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 15:40,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-09 16:40,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-09 17:40,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-09 18:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 19:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-09 20:40,-111.1176,44.6884,2026.60,FEW,FEW,M,7500.00,9000.00,M,M
WYS,2023-09-09 21:40,-111.1176,44.6884,2026.60,FEW,FEW,M,7500.00,9500.00,M,M
WYS,2023-09-09 22:35,-111.1176,44.6884,2026.60,FEW,FEW,M,7500.00,9500.00,M,M
WYS,2023-09-09 23:35,-111.1176,44.6884,2026.60,FEW,M,M,8500.00,M,M,M
WYS,2023-09-10 00:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-10 01:40,-111.1176,44.6884,2026.60,BKN,M,M,12000.00,M,M,M
WYS,2023-09-10 02:40,-111.1176,44.6884,2026.60,FEW,M,M,12000.00,M,M,M
WYS,2023-09-10 03:40,-111.1176,44.6884,2026.60,OVC,M,M,11000.00,M,M,M
WYS,2023-09-10 04:40,-111.1176,44.6884,2026.60,BKN,M,M,11000.00,M,M,M
WYS,2023-09-10 05:40,-111.1176,44.6884,2026.60,BKN,BKN,M,10000.00,12000.00,M,M
WYS,2023-09-10 06:40,-111.1176,44.6884,2026.60,SCT,BKN,OVC,4500.00,7500.00,9500.00,M
WYS,2023-09-10 07:40,-111.1176,44.6884,2026.60,FEW,SCT,OVC,5000.00,6000.00,9500.00,M
WYS,2023-09-10 08:40,-111.1176,44.6884,2026.60,FEW,BKN,OVC,7000.00,8500.00,11000.00,M
WYS,2023-09-10 09:40,-111.1176,44.6884,2026.60,BKN,M,M,9500.00,M,M,M
WYS,2023-09-10 10:40,-111.1176,44.6884,2026.60,FEW,SCT,OVC,6500.00,7500.00,9500.00,M
WYS,2023-09-10 11:40,-111.1176,44.6884,2026.60,FEW,SCT,OVC,4600.00,6500.00,9000.00,M
WYS,2023-09-10 12:40,-111.1176,44.6884,2026.60,BKN,BKN,M,9000.00,11000.00,M,M
WYS,2023-09-10 13:35,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-10 14:40,-111.1176,44.6884,2026.60,OVC,M,M,11000.00,M,M,M
WYS,2023-09-10 15:40,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-10 16:40,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-10 17:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-10 18:40,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
